combined_data1,combined_data2
0,1002.4835707650561
1,1039.2660254787304
2,1082.8975459976264
3,1126.4664624956074
4,1156.1125134344422
5,1193.5384863695795
6,1238.7856518482783
7,1269.4302726062062
8,1296.2503487515214
9,1332.4051362036664
10,1356.360956985699
11,1383.0407906816333
12,1410.8055955083294
13,1421.6357123983803
14,1441.4256319256874
15,1463.2081053374081
16,1473.9437745429404
17,1490.5035378806344
18,1491.1890537182371
19,1492.293553481115
20,1507.1150453653604
21,1495.8927195966053
22,1491.414799592249
23,1474.8677571451567
24,1467.1008232200365
25,1455.2033263613903
26,1430.8115218666467
27,1417.57022048107
28,1389.1547690926159
29,1364.6572532661594
30,1334.7230572144285
31,1316.4485198254006
32,1274.6102320898735
33,1235.1227528495447
34,1208.7198093965246
35,1161.3898568280972
36,1130.3539928055793
37,1080.4997833277175
38,1044.0680629138087
39,1011.7797940423936
40,974.505261186187
41,931.8739077703362
42,891.084218394369
43,851.4953253142697
44,807.8869107759243
45,775.1405573106002
46,741.3121524673392
47,715.416512266723
48,680.2187204208878
49,640.1116548577836
50,623.2191721930099
51,594.7657143062982
52,570.9786895306829
53,557.8164771532101
54,543.1559182508859
55,528.8553636508229
56,509.2444207712999
57,504.24831215117865
58,502.9657863079712
59,504.89220747059954
60,499.5218243928532
61,506.0786414358457
62,509.71797540306545
63,520.6120790832922
64,545.0273917773375
65,565.0538722827775
66,578.0460784638899
67,606.2540125336079
68,628.425473691332
69,651.1610154284111
70,686.1736590913816
71,724.0559068678456
72,749.9999282459991
73,793.413612612372
74,809.27449448553
75,864.4017634224132
76,899.5401699631265
77,937.0679656943956
78,978.8728612783132
79,1008.465344139909
80,1057.1762429860592
81,1099.5588204078308
82,1144.0359677122142
83,1172.0543150719996
84,1207.4852305570325
85,1244.5478903513813
86,1285.5823435388818
87,1314.8002707091264
88,1340.655763334984
89,1373.8229730634678
90,1397.3193196713169
91,1424.7160699771543
92,1436.7157393071304
93,1456.1249096825559
94,1470.4117728434162
95,1476.6422612750828
96,1493.9322684211033
97,1499.0987642908267
98,1499.9766965571998
99,1497.7378538596613
100,1487.6022696014388
101,1485.1799722383907
102,1475.0567522426534
103,1459.196361402275
104,1445.875793272746
105,1429.319708328213
106,1414.6143574617302
107,1381.3484997235464
108,1354.621799821553
109,1323.560123380928
110,1282.8647403693856
111,1258.9815335832416
112,1224.4133145199976
113,1199.992881502657
114,1149.078883358636
115,1112.9526937617911
116,1071.9627996617023
117,1026.5229432606852
118,998.1033883793592
119,956.2205630002534
120,916.7917691237254
121,869.2229319118973
122,842.5245426015169
123,791.2941886016538
124,765.3207719016115
125,738.941722684365
126,690.3796603425661
127,661.7925840340677
128,636.5593216505699
129,607.3086459028032
130,578.3334483018425
131,565.3379537935937
132,541.3745404243705
133,533.6446034605292
134,514.2683323783801
135,517.2815569918419
136,499.419372084432
137,498.7060415383468
138,504.5609159220769
139,497.71112703888724
140,511.5484350973622
141,526.624233958798
142,524.7982844999949
143,549.4943077192365
144,568.4935943171631
145,592.494816874532
146,606.4241186402927
147,632.5077400132611
148,670.5293460680368
149,700.3383578234705
150,732.9660052515119
151,768.0220063715714
152,798.9608139816527
153,840.857593876136
154,879.5224720219521
155,913.6261551857135
156,966.1972382425519
157,999.1838789707328
158,1030.8249205174407
159,1079.7956540012087
160,1110.881504199633
161,1158.1919257477075
162,1197.564355601342
163,1223.956158714544
164,1267.7058405798457
165,1298.1006619882946
166,1331.4012305830988
167,1365.935522090039
168,1382.1051704529189
169,1403.991966717869
170,1425.1333352801203
171,1444.5742640745266
172,1464.4703648808481
173,1479.7907000102168
174,1489.6393487392988
175,1499.4395940926152
176,1499.2482171493134
177,1507.137338904213
178,1496.0353851600712
179,1505.2671177721556
180,1485.9572250134638
181,1466.6172596474244
182,1450.610571596725
183,1440.5227626312783
184,1416.3360416307605
185,1397.6960361581187
186,1370.6438383217603
187,1339.7094019718083
188,1305.4601641198926
189,1269.7594971764215
190,1240.966769666564
191,1211.7913036645893
192,1171.562392245019
193,1126.155276973279
194,1094.2951171992502
195,1055.803413048366
196,1009.560524721425
197,974.7620000962709
198,934.4643344753136
199,889.0594220082468
200,857.8372784692087
201,821.04713183252
202,787.0159561467075
203,751.6242111310034
204,705.8438160958992
205,676.2575336264507
206,653.7771836328197
207,626.2574023655322
208,601.1572859292952
209,595.30698485284
210,559.0709357627136
211,544.9061672693394
212,529.9575699432685
213,517.4409187010766
214,504.71158228209066
215,505.3448130816683
216,496.13625857856266
217,500.46500052652436
218,504.0587298563534
219,514.8881806530878
220,537.1510438743055
221,530.3750495402462
222,560.2205773307534
223,568.6386340265454
224,596.9631523432682
225,629.9511295989988
226,652.41321942975
227,676.5139632477164
228,710.1717736559192
229,750.8229200775753
230,779.0653558054676
231,820.4816080332837
232,857.4645284708234
233,892.7292198409809
234,946.1228211606823
235,978.4017746724063
236,1005.0939750023041
237,1056.0421138202157
238,1091.3385493110611
239,1137.8418668094487
240,1167.6948607177842
241,1208.0635245040337
242,1246.8073192811612
243,1282.6937614208694
244,1304.665520021426
245,1339.3093038548632
246,1366.740771507718
247,1391.6214603879862
248,1426.9620499548869
249,1440.731723855828
250,1450.1682055921387
251,1475.9078781204234
252,1493.7604619780982
253,1497.052610744454
254,1489.8876188675254
255,1497.4752797070034
256,1505.4453558600947
257,1491.594196976295
258,1490.2062270437139
259,1481.5934334447804
260,1459.7629646807297
261,1447.8067841759919
262,1412.7385291469755
263,1401.9195992097436
264,1381.2716914611603
265,1349.341695543167
266,1334.5142447504713
267,1287.8855178253434
268,1259.632813769983
269,1227.6087126793097
270,1197.8316122728006
271,1145.896820061582
272,1120.3636697194356
273,1075.3380210654032
274,1030.6367383541601
275,997.8848627261144
276,956.6280166647788
277,912.9738058288181
278,877.2035466253576
279,836.5953249233584
280,801.7897451655382
281,768.5045771791886
282,738.5977308418037
283,691.6751001571643
284,677.6585136075444
285,628.492182980265
286,611.0669204646595
287,590.8236458350525
288,567.9793814255193
289,544.9257313602012
290,531.3544311509442
291,517.2769271503566
292,507.21401016497975
293,507.96104559587326
294,502.22485664545576
295,496.8974559553829
296,507.97820613250235
297,511.31093943408763
298,523.2687581242494
299,534.8580482104096
300,543.0658439420777
301,562.8071343592906
302,590.5203542880124
303,613.6547572761314
304,636.8082302090736
305,666.1317267275331
306,702.7051359846558
307,726.073212311784
308,766.2140903588304
309,798.4281041715718
310,835.5940309315027
311,880.4643657866346
312,918.1853700925396
313,957.7633770179418
314,1000.1569520416311
315,1033.7090554709011
316,1076.7733282213208
317,1111.1024802393308
318,1152.8442964754477
319,1188.175086023697
320,1225.7052769626582
321,1263.1499367933213
322,1289.372676079423
323,1335.338176990729
324,1349.180515555958
325,1375.2082821758627
326,1411.6995164975947
327,1431.9005803396187
328,1450.3588005848305
329,1466.8150654334886
330,1477.0813133821143
331,1483.073400744881
332,1495.2371026932785
333,1495.6052756886497
334,1504.8078471776123
335,1496.9402655482688
336,1488.1079452515537
337,1482.0397538522918
338,1474.0289038805927
339,1454.444226843213
340,1435.5254288475298
341,1420.4164746095958
342,1397.3029422451439
343,1367.889916108345
344,1340.0465095210452
345,1313.3488173949838
346,1272.7380712027787
347,1238.9401923418966
348,1206.810891763408
349,1172.4156168673994
350,1137.0074319819246
351,1103.9332804913274
352,1061.3307706882501
353,1016.3638759270599
354,977.0797952755945
355,932.3195401285947
356,897.7977920515007
357,857.6583885671577
358,822.8278670001321
359,780.3343304373886
360,751.7020820609188
361,723.0087779481571
362,682.8618365857781
363,655.4998733929963
364,629.2441852835325
365,598.483158310764
366,578.861023783729
367,557.7558434855006
368,540.9628382201774
369,522.33038034527
370,515.069684017702
371,509.29151153840354
372,509.06641223667793
373,504.8029338773552
374,512.1666291931676
375,502.1474501391288
376,518.0892775012809
377,525.4983541393581
378,549.4256836322638
379,551.2823767165874
380,570.816867849433
381,594.4285733924942
382,611.7912202954547
383,647.1823690695925
384,675.6559397521571
385,711.8944467095151
386,746.3898347587597
387,789.2336561246939
388,821.184858960459
389,851.3023633550137
390,888.3816564953144
391,934.7054164775969
392,965.4501408827318
393,1021.1928633027487
394,1057.8400460607406
395,1089.1719862297705
396,1121.9418088596037
397,1175.4316578795335
398,1205.1655481694695
399,1247.6872576627156
